year,age,pasfr,tfr
2028,52,9e-04,3.001432
2028,53,0.000955,3.001432
2028,54,0.000488,3.001432
2029,10,0.000157,2.972814
2029,11,0.002082,2.972814
2029,12,0.012347,2.972814
2029,13,0.056494,2.972814
2029,14,0.162285,2.972814
2029,15,0.385825,2.972814
2029,16,0.795157,2.972814
2029,17,1.397663,2.972814
2029,18,2.155755,2.972814
2029,19,2.929953,2.972814
2029,20,3.673152,2.972814
2029,21,4.322606,2.972814
2029,22,4.855994,2.972814
2029,23,5.241542,2.972814
2029,24,5.471776,2.972814
2029,25,5.548694,2.972814
2029,26,5.485258,2.972814
2029,27,5.366597,2.972814
2029,28,5.210087,2.972814
2029,29,5.009248,2.972814
2029,30,4.760176,2.972814
2029,31,4.513791,2.972814
2029,32,4.274091,2.972814
2029,33,4.071693,2.972814
2029,34,3.89356,2.972814
2029,35,3.675222,2.972814
2029,36,3.358531,2.972814
2029,37,3.01055,2.972814
2029,38,2.63705,2.972814
2029,39,2.220966,2.972814
2029,40,1.742362,2.972814
2029,41,1.329558,2.972814
2029,42,0.961138,2.972814
2029,43,0.651133,2.972814
2029,44,0.404297,2.972814
2029,45,0.225829,2.972814
2029,46,0.116795,2.972814
2029,47,0.049434,2.972814
2029,48,0.015585,2.972814
2029,49,0.001999,2.972814
2029,50,0.000526,2.972814
2029,51,0.000785,2.972814
2029,52,0.000856,2.972814
2029,53,0.000919,2.972814
2029,54,0.000482,2.972814
2030,10,0.000158,2.943604
2030,11,0.002103,2.943604
2030,12,0.01247,2.943604
2030,13,0.057054,2.943604
2030,14,0.163895,2.943604
2030,15,0.389654,2.943604
2030,16,0.803048,2.943604
2030,17,1.408118,2.943604
2030,18,2.167193,2.943604
2030,19,2.940317,2.943604
2030,20,3.680822,2.943604
2030,21,4.328163,2.943604
2030,22,4.860414,2.943604
2030,23,5.245928,2.943604
2030,24,5.477053,2.943604
2030,25,5.555025,2.943604
2030,26,5.492403,2.943604
2030,27,5.374088,2.943604
2030,28,5.217381,2.943604
2030,29,5.015571,2.943604
2030,30,4.764684,2.943604
2030,31,4.516074,2.943604
2030,32,4.273858,2.943604
2030,33,4.069373,2.943604
2030,34,3.889575,2.943604
2030,35,3.669635,2.943604
2030,36,3.350815,2.943604
2030,37,3.001036,2.943604
2030,38,2.626152,2.943604
2030,39,2.20891,2.943604
2030,40,1.729066,2.943604
2030,41,1.316811,2.943604
2030,42,0.949994,2.943604
2030,43,0.642069,2.943604
2030,44,0.397548,2.943604
2030,45,0.221549,2.943604
2030,46,0.114112,2.943604
2030,47,0.047897,2.943604
2030,48,0.014807,2.943604
2030,49,0.001802,2.943604
2030,50,0.000464,2.943604
2030,51,0.000737,2.943604
2030,52,0.000815,2.943604
2030,53,0.000885,2.943604
2030,54,0.000475,2.943604
